Unnamed: 0,pos,title,merchant,price,rating,reviews_count,product
22,23,Nintendo Switch 32GB Gaming System,Unclaimed Baggage,169.99,4.7,78000.0,Nintendo
23,24,Minecraft Switch,Nintendo,29.99,4.7,15000.0,Nintendo
24,25,Nintendo Wii Console,Walmart - Best Retro Games,75.97,4.6,2400.0,Nintendo
25,26,Original Nintendo NES System Console w/Mario 123 & Zapper,DKOldies,229.99,4.4,1400.0,Nintendo
26,27,Nintendo Switch Lite Animal Crossing Coral Pink,GameStop,179.99,4.7,5300.0,Nintendo
27,28,Nintendo Super Classic,Newegg.com - InBulk Electronics,399.95,4.6,7200.0,Nintendo
28,29,Nintendo Switch Joy-Con Pastel Pink,Nintendo,79.99,4.7,10000.0,Nintendo
29,30,Nintendo Super NES Classic Edition,CaveGamers,249.99,4.5,653.0,Nintendo
30,31,Nintendo SNES Console,Back Market,180.0,4.6,324.0,Nintendo
31,32,Nintendo Switch Online Plus Expansion Pack,GameStop,79.99,4.7,8400.0,Nintendo
32,33,Nintendo Switch Mario Red & Blue Limited Edition,Walmart - Direct Distributor,313.95,4.7,78000.0,Nintendo
33,34,Original Nintendo NES Console w/Controller For Sale,DKOldies,89.99,4.4,1400.0,Nintendo
34,35,Nintendo Switch Joy-Con,Nintendo,79.99,4.7,63000.0,Nintendo
35,36,Nintendo Switch Online Month Membership Card,Target,19.99,4.7,8400.0,Nintendo
36,37,Nintendo Switch Console with Gray Joy-Con Controller,GameStop,259.99,4.7,78000.0,Nintendo
37,38,Nintendo 64,Walmart - Maries Market,124.96,4.6,3700.0,Nintendo
38,39,Nintendo Classic Mini System Nes Game Console 30 Games Pre-installed,eBay - mrrelevant,94.99,4.5,3900.0,Nintendo
39,40,Super Mario Bros. Wonder,Nintendo,59.99,4.8,17000.0,Nintendo
40,41,Nintendo Wii U,CaveGamers,186.99,4.6,2600.0,Nintendo
41,42,Nintendo 2DS Blue GameStop Premium Refurbished,GameStop,119.99,4.6,4000.0,Nintendo
42,43,Nintendo Game Boy Advance SP Pearl Blue,Walmart - Gamer Girlz,145.19,4.6,2000.0,Nintendo
43,44,Nintendo Switch Lite Pokemon Dialga & Palkia Limited Edition,Amazon.com - Seller,244.0,4.6,15.0,Nintendo
44,45,Nintendo Mario Vs Donkey Kong,Nintendo,49.99,4.8,1500.0,Nintendo
45,46,Nintendo Entertainment System: Nes Classic Edition With 30 Games,eBay,169.99,4.5,3900.0,Nintendo
46,47,Nintendo 2DS White and Red GameStop Premium Refurbished,GameStop,119.99,4.6,4000.0,Nintendo
0,1,PlayStation 5 Slim Disc Console,Amazon.com,449.0,4.7,17000.0,PlayStation
1,2,PlayStation Portal Remote Player,PlayStation,199.99,4.4,6300.0,PlayStation
2,3,PlayStation 5 Console with Marvel's Spider-Man 2,Target,499.99,4.5,47000.0,PlayStation
3,4,Sony PlayStation 4 500GB Gaming Console,GameStop,139.99,3.9,95.0,PlayStation
4,5,PlayStation 5 Slim Digital Edition NBA 2K25 Bundle,Best Buy,449.99,3.7,9.0,PlayStation
