name,link,image,sku,model,price,original_price,save,rating,rating_count,is_sold_out,product
Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Starlight,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-16gb-memory-512gb-ssd-starlight/6565841.p?skuId=6565841,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565841_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565841.0,MXCU3LL/A,1249.0,1499.0,16.68%,4.9,482.0,False,Macbook
"Apple - MacBook Air 15"" Laptop - M2 chip Built for Apple Intelligence - 16GB Memory - 1TB SSD - Midnight",https://www.bestbuy.com/site/apple-macbook-air-15-laptop-m2-chip-built-for-apple-intelligence-16gb-memory-1tb-ssd-midnight/6382794.p?skuId=6382794,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6382/6382794_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6382794.0,MQTM3LL/A,1649.0,1899.0,13.16%,4.9,635.0,False,Macbook
"Apple - MacBook Pro 14"" Laptop - M3 Max chip Built for Apple Intelligence - 36GB Memory - 30-core GPU - 1TB SSD - Space Black",https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-max-chip-built-for-apple-intelligence-36gb-memory-30-core-gpu-1tb-ssd-space-black/6534620.p?skuId=6534620,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534620_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6534620.0,MRX53LL/A,3199.0,,,4.8,205.0,False,Macbook
"Apple - MacBook Air 15"" Laptop - M2 chip Built for Apple Intelligence - 8GB Memory - 256GB SSD - Starlight",https://www.bestbuy.com/site/apple-macbook-air-15-laptop-m2-chip-built-for-apple-intelligence-8gb-memory-256gb-ssd-starlight/6534600.p?skuId=6534600,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534600_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6534600.0,MQKU3LL/A,1049.0,1299.0,19.25%,4.9,4366.0,False,Macbook
"Apple - MacBook Pro 16"" Laptop - M3 Pro chip Built for Apple Intelligence - 36GB Memory - 18-core GPU - 512GB SSD - Space Black",https://www.bestbuy.com/site/apple-macbook-pro-16-laptop-m3-pro-chip-built-for-apple-intelligence-36gb-memory-18-core-gpu-512gb-ssd-space-black/6534625.p?skuId=6534625,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534625_sd.jpg;maxHeight=122;maxWidth=300;format=webp,6534625.0,MRW23LL/A,2899.0,,,4.8,332.0,False,Macbook
Apple - MacBook Air 15-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Midnight,https://www.bestbuy.com/site/apple-macbook-air-15-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-midnight/6565853.p?skuId=6565853,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565853_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565853.0,MRYV3LL/A,1234.0,1499.0,17.68%,4.8,142.0,False,Macbook
"Apple - MacBook Pro 13.3"" Laptop - M2 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Silver",https://www.bestbuy.com/site/apple-macbook-pro-13-3-laptop-m2-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-silver/6509655.p?skuId=6509655,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6509/6509655_sd.jpg;maxHeight=116;maxWidth=300;format=webp,6509655.0,MNEQ3LL/A,1499.0,,,4.9,1364.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Pro - 16"" Display- Intel Core i9- 16GB Memory- AMD Radeon Pro 5500M - 1TB SSD - Space Gray",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-16-display-intel-core-i9-16gb-memory-amd-radeon-pro-5500m-1tb-ssd-space-gray/6489617.p?skuId=6489617,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489617_sd.jpg;maxHeight=114;maxWidth=300;format=webp,6489617.0,GSRF MVVK2LL/A,899.0,2799.0,67.88%,3.8,47.0,False,Macbook
"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Midnight",https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-air-13-6-laptop-apple-m2-chip-8gb-memory-256gb-ssd-midnight/6550226.p?skuId=6550226,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6550/6550226_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6550226.0,GSRF MLY33LL/A,674.0,1099.0,38.67%,4.4,62.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop - Intel Core i3 - 8GB Memory - 256GB Solid State Drive - Gold",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-laptop-intel-core-i3-8gb-memory-256gb-solid-state-drive-gold/6489729.p?skuId=6489729,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489729_sd.jpg;maxHeight=115;maxWidth=300;format=webp,6489729.0,GSRF MWTL2LL/A,414.0,949.0,56.38%,4.4,114.0,False,Macbook
